system:index,B11,B12,B4,B8,VH,VV,.geo
0,3660.543209876543,3019.222222222222,2257.6543209876545,3994.1481481481483,-16.91264625554512,-9.773891447963367,"{""type"":""Point"",""coordinates"":[79.00055428768323,27.497823613525043]}"
1,3002.8275862068967,2290.448275862069,1866.551724137931,3651.689655172414,-15.35291395946865,-8.922101414985764,"{""type"":""Point"",""coordinates"":[83.8178169425017,27.314851575643463]}"
2,3571.9411764705883,2996.470588235294,2132.9176470588236,3607.823529411765,-17.048913475245143,-9.383911332670259,"{""type"":""Point"",""coordinates"":[78.4005176525866,24.433845997958933]}"
3,3160.1052631578946,2559.7368421052633,1948.0263157894738,3510.5789473684213,-15.350508009399954,-8.59924794546651,"{""type"":""Point"",""coordinates"":[79.46416851632637,28.55121009627007]}"
4,3607.974358974359,2946.5641025641025,2160.74358974359,4120.5641025641025,-17.09086189113564,-9.896731792416999,"{""type"":""Point"",""coordinates"":[81.83631847294347,25.59312787279325]}"
5,3447.4324324324325,2884.891891891892,2239.391891891892,3727.3513513513512,-16.541348994342282,-9.132820548320776,"{""type"":""Point"",""coordinates"":[79.32566007506516,26.211894058163228]}"
6,3516.6,2770.457142857143,2058.342857142857,3913.8,-15.911814953040206,-9.754624646568884,"{""type"":""Point"",""coordinates"":[81.66770243463323,26.430764246938427]}"
7,3816.735294117647,3153.676470588235,2355.735294117647,4100.823529411765,-17.968699920121885,-9.282011959533119,"{""type"":""Point"",""coordinates"":[82.88570215801016,25.604708312316955]}"
8,3874.342857142857,3142.057142857143,2710.285714285714,4317.142857142857,-17.094932761363996,-9.65139228475645,"{""type"":""Point"",""coordinates"":[83.10102547898511,25.787843031771395]}"
9,3199.6962025316457,2576.1898734177216,2064.6835443037976,3911.4050632911394,-15.954815112844635,-9.689964249686755,"{""type"":""Point"",""coordinates"":[78.28557115578917,28.501605120642928]}"
10,3913.864197530864,3308.1604938271603,2392.740740740741,4222.407407407408,-16.98264599064193,-9.888980110800956,"{""type"":""Point"",""coordinates"":[78.97352080730381,27.54878812552793]}"
11,3644.7027027027025,3020.6216216216217,2300.108108108108,3777.810810810811,-16.40173132122715,-9.683252325237733,"{""type"":""Point"",""coordinates"":[79.41877831539992,25.751987768876713]}"
12,3699.05,3077.775,2159.85,4107.45,-16.02630102222348,-9.558888354785722,"{""type"":""Point"",""coordinates"":[79.27547868314771,27.596578928674532]}"
13,3279.2361111111113,2588.3888888888887,1953.4722222222222,3593.9861111111113,-15.311403809835014,-9.063995921086528,"{""type"":""Point"",""coordinates"":[78.27609991422027,29.212786651487175]}"
14,3704.364705882353,2860.7176470588233,1985.6588235294118,3333.7294117647057,-16.026429898795268,-9.421694256342866,"{""type"":""Point"",""coordinates"":[78.40142361836921,24.392843420152367]}"
15,3678.5365853658536,2993.6341463414633,2269.170731707317,4267.878048780488,-16.661908571011057,-9.595897116661895,"{""type"":""Point"",""coordinates"":[78.96397953794202,26.863408462985785]}"
16,3119.820895522388,2282.0298507462685,1681.1194029850747,3857.865671641791,-13.851513668489506,-7.609164584166253,"{""type"":""Point"",""coordinates"":[81.00832533294204,27.928283583796198]}"
17,3705.943661971831,3104.9014084507044,2307.6478873239435,3669.112676056338,-17.029601254999573,-9.619209357539264,"{""type"":""Point"",""coordinates"":[80.14499327694212,25.53471070285364]}"
18,3118.5853658536585,2684.9756097560976,2102.9024390243903,3397.560975609756,-18.47492786009055,-11.018265039450043,"{""type"":""Point"",""coordinates"":[78.22113639888087,27.162477689532203]}"
19,4145.76,3775.8933333333334,2839.133333333333,3346.12,-16.265214490678936,-7.971766009646766,"{""type"":""Point"",""coordinates"":[78.52929716641101,25.34814352478896]}"
20,3388.3684210526317,2792.4210526315787,2116.842105263158,3760.4473684210525,-16.56419900595576,-9.772014236380109,"{""type"":""Point"",""coordinates"":[79.2364617877729,28.279298395976586]}"
21,3899.623188405797,3180.5942028985505,2363.927536231884,4072.840579710145,-16.85746900422799,-10.024443844775341,"{""type"":""Point"",""coordinates"":[82.5437038990092,25.900504566071348]}"
22,4110.727272727273,3429.878787878788,2724.3636363636365,4168.30303030303,-17.083131997273213,-9.62604832824362,"{""type"":""Point"",""coordinates"":[80.8614905914956,26.579518683870504]}"
23,3481.25,2860.53125,2215.21875,3604.65625,-16.334739483966985,-9.4849545991763,"{""type"":""Point"",""coordinates"":[81.50635946835585,27.496251869075344]}"
24,3344.6176470588234,2781.3529411764707,2222.470588235294,3525.0,-14.187342211290407,-4.1352068445041485,"{""type"":""Point"",""coordinates"":[82.9782385434423,25.33320199194701]}"
25,3811.2972972972975,3095.4054054054054,2112.824324324324,3792.7837837837837,-17.218422857641045,-10.959787988210339,"{""type"":""Point"",""coordinates"":[80.46492193849872,27.374195974966643]}"
26,3532.4,2833.885714285714,2211.5714285714284,4062.0285714285715,-17.309778161904266,-9.97082188747291,"{""type"":""Point"",""coordinates"":[83.66911897826675,26.025704460666162]}"
27,3312.2153846153847,2748.8615384615387,2160.4,3384.0461538461536,-15.463433102818621,-8.848120179525747,"{""type"":""Point"",""coordinates"":[80.44922627128841,28.588864392360748]}"
28,3612.675675675676,3044.0810810810813,2289.2162162162163,3975.135135135135,-16.14610882609031,-9.936108735490825,"{""type"":""Point"",""coordinates"":[79.57761179751705,26.51908920730134]}"
29,3871.945945945946,3122.472972972973,2332.364864864865,4029.554054054054,-16.66971812496831,-10.017596906154026,"{""type"":""Point"",""coordinates"":[81.31617068651671,26.171386998585973]}"
30,3671.309523809524,3163.3571428571427,2416.1428571428573,3806.7380952380954,-17.499122503369527,-10.54374174562819,"{""type"":""Point"",""coordinates"":[79.84097710470773,27.818665110283785]}"
31,3485.542857142857,2824.4,2107.1714285714284,3925.3142857142857,-16.931948647086333,-10.200680863603132,"{""type"":""Point"",""coordinates"":[81.39320811746249,26.309230986207954]}"
32,3855.31884057971,3124.1159420289855,2346.1304347826085,4131.072463768116,-16.977715998496727,-10.027033863847985,"{""type"":""Point"",""coordinates"":[82.47621372557727,26.04480509689678]}"
33,3859.2432432432433,3168.5405405405404,2333.3783783783783,3831.7297297297296,-18.922845858391508,-11.750987174859711,"{""type"":""Point"",""coordinates"":[81.92746253464813,24.942647501984787]}"
34,3715.6849315068494,3070.821917808219,2317.753424657534,3637.109589041096,-17.4660083318517,-9.68428326726363,"{""type"":""Point"",""coordinates"":[79.76212141643839,25.60302733845548]}"
35,3633.2876712328766,3019.0,2262.671232876712,3845.178082191781,-16.80159841274129,-9.946734057207253,"{""type"":""Point"",""coordinates"":[82.00730610170466,25.2175213702696]}"
36,3839.6206896551726,3259.4827586206898,2339.103448275862,3578.2758620689656,-17.74816839433411,-10.612589559684633,"{""type"":""Point"",""coordinates"":[83.49278884135246,27.33091953492027]}"
37,3615.9142857142856,2951.285714285714,2213.3714285714286,3907.0857142857144,-16.998408215827514,-9.344194214174122,"{""type"":""Point"",""coordinates"":[83.3385531651464,25.674056442353265]}"
38,3216.3870967741937,2619.2903225806454,2086.1935483870966,3781.2580645161293,-15.975077777657505,-9.582014374094205,"{""type"":""Point"",""coordinates"":[77.35421251730631,29.87466663076261]}"
39,3208.12,2454.0133333333333,1818.88,3708.4266666666667,-15.176858802861975,-8.998864857832984,"{""type"":""Point"",""coordinates"":[80.52942040235676,27.729160141103343]}"
40,3452.4805194805194,2914.012987012987,2270.220779220779,3490.2597402597403,-19.5335399162648,-12.865935493812948,"{""type"":""Point"",""coordinates"":[77.85384257831541,27.287915721625005]}"
41,3829.6153846153848,3318.871794871795,2493.7948717948716,4040.897435897436,-18.423530890868047,-11.09492870028384,"{""type"":""Point"",""coordinates"":[81.71693053854295,25.478912620606636]}"
42,3355.527777777778,2744.1388888888887,2203.222222222222,3702.1388888888887,-15.969803649339626,-9.595509558646883,"{""type"":""Point"",""coordinates"":[77.61172543940285,29.35722607865895]}"
43,3935.56,3025.8133333333335,1959.6133333333332,3663.4666666666667,-16.21310397120236,-9.925750731958106,"{""type"":""Point"",""coordinates"":[78.33639197296111,25.333997510134523]}"
44,3378.3970588235293,2719.5,2078.073529411765,3665.5588235294117,-15.713748258851282,-9.270801793666543,"{""type"":""Point"",""coordinates"":[81.3143643542423,27.9656065961213]}"
45,3890.7428571428572,3144.5142857142855,2235.9714285714285,3546.714285714286,-16.597761280264834,-9.735122897072555,"{""type"":""Point"",""coordinates"":[83.14854103245813,24.08430546556513]}"
46,3068.826666666667,2457.8533333333335,1865.24,3652.7466666666664,-15.949406896029991,-9.688708049020072,"{""type"":""Point"",""coordinates"":[78.00479773986613,28.982033999455304]}"
47,3587.6216216216217,2858.9189189189187,2096.945945945946,4104.5675675675675,-14.84156019076859,-7.3343437577210135,"{""type"":""Point"",""coordinates"":[80.97459513303949,26.037924861307555]}"
48,3509.4736842105262,2887.315789473684,2121.657894736842,3823.815789473684,-16.45389141305532,-10.20738404136719,"{""type"":""Point"",""coordinates"":[79.27936346654475,28.38974745352884]}"
49,3609.8939393939395,3056.439393939394,2223.560606060606,3673.212121212121,-18.01138419228681,-10.663558223498388,"{""type"":""Point"",""coordinates"":[83.9992902211343,26.537065117775704]}"
50,3974.4246575342468,3126.1369863013697,2114.6027397260273,3657.958904109589,-15.714257119230984,-9.809371636933172,"{""type"":""Point"",""coordinates"":[82.98307145021946,24.967870088199998]}"
51,3068.064516129032,2456.7419354838707,1929.8387096774193,3623.6774193548385,-15.283550969548246,-9.23976206183631,"{""type"":""Point"",""coordinates"":[77.44753594473883,29.86396148845569]}"
52,3519.6315789473683,2913.9210526315787,2265.4473684210525,3815.6052631578946,-17.9841776699235,-11.094826363072775,"{""type"":""Point"",""coordinates"":[79.74464613650598,28.730290761534484]}"
53,3774.625,3117.125,2378.875,3904.0,-16.570577442415566,-9.934784126562072,"{""type"":""Point"",""coordinates"":[81.61810623199254,27.808154022092992]}"
54,3525.4193548387098,2900.2258064516127,2183.4193548387098,3770.1290322580644,-18.236381179237256,-11.204077977172192,"{""type"":""Point"",""coordinates"":[82.2807807924972,26.384996587437378]}"
55,3748.0285714285715,3020.0285714285715,2262.057142857143,4094.5714285714284,-16.50416553604685,-9.77524599599064,"{""type"":""Point"",""coordinates"":[81.3214914584163,26.243464105696205]}"
56,3425.8571428571427,2830.896103896104,2223.1688311688313,4215.8441558441555,-17.518051377719946,-10.33457202103292,"{""type"":""Point"",""coordinates"":[77.9246686477189,28.062799098182506]}"
57,3370.137931034483,2535.310344827586,1800.103448275862,3563.103448275862,-17.09383629721025,-10.369966799629003,"{""type"":""Point"",""coordinates"":[83.48070121385547,27.238462109685706]}"
58,3176.75,2503.722222222222,1883.0694444444443,3425.2638888888887,-15.345865323240364,-9.193865215612831,"{""type"":""Point"",""coordinates"":[78.61430193373938,29.20536115097876]}"
59,3721.8125,3022.5625,2209.4375,4126.125,-16.794624067835795,-9.23123136314531,"{""type"":""Point"",""coordinates"":[81.12351834711238,27.242439113965673]}"
60,3234.722222222222,2591.7361111111113,2007.625,3502.152777777778,-14.513565200449586,-8.672942501168308,"{""type"":""Point"",""coordinates"":[78.6440750957668,29.36134569587135]}"
61,3665.757575757576,2942.757575757576,2177.5454545454545,3989.3333333333335,-16.62163660883753,-10.034249629056074,"{""type"":""Point"",""coordinates"":[80.96635739626899,26.38112298721005]}"
62,3973.6,3351.4,2463.225,4265.2,-16.931597364294916,-9.868599324779328,"{""type"":""Point"",""coordinates"":[79.51484432888475,27.1655952846142]}"
63,3465.7464788732395,2795.2535211267605,2220.1971830985917,3893.7464788732395,-17.783466156363907,-10.388345301299758,"{""type"":""Point"",""coordinates"":[83.20025967648033,25.247018623398898]}"
64,3903.550724637681,3192.449275362319,2341.5652173913045,4168.536231884058,-17.19469486473117,-10.481339707814032,"{""type"":""Point"",""coordinates"":[82.3848772150994,25.900925628578612]}"
65,3766.8064516129034,3059.564516129032,2216.016129032258,4070.3225806451615,-17.195331000046497,-10.369306921516836,"{""type"":""Point"",""coordinates"":[82.53796589854393,26.312859651042597]}"
66,3821.7391304347825,3100.985507246377,2286.8260869565215,4047.159420289855,-17.666674787567345,-10.586513892625668,"{""type"":""Point"",""coordinates"":[82.49446559648308,25.548488253420658]}"
67,3480.0193548387097,2852.7032258064514,2225.4129032258065,4024.335483870968,-16.895549264636617,-10.056506234654018,"{""type"":""Point"",""coordinates"":[77.99722107573952,28.357767676636364]}"
68,3725.32,3018.08,2242.6666666666665,4115.92,-17.533843274159423,-10.411457528590793,"{""type"":""Point"",""coordinates"":[81.07891389292907,25.661522065005183]}"
69,3634.972972972973,2994.5945945945946,2333.972972972973,4215.027027027027,-16.088875691455474,-9.546224193079473,"{""type"":""Point"",""coordinates"":[79.1322205544178,26.69224659004275]}"
70,3586.8205128205127,2910.7179487179487,2131.897435897436,3958.923076923077,-17.30792436416604,-10.264163257573015,"{""type"":""Point"",""coordinates"":[81.75409438260394,25.373465738426447]}"
71,3373.785714285714,2717.2,2124.8571428571427,3575.8142857142857,-15.099247549930995,-8.51192663653788,"{""type"":""Point"",""coordinates"":[80.74906299086157,27.96663547268681]}"
72,3823.891891891892,3168.108108108108,2344.5675675675675,3939.027027027027,-16.975699674571445,-10.039812819394793,"{""type"":""Point"",""coordinates"":[82.80318105330706,25.101646379682382]}"
73,3926.75,3281.125,2540.96875,4173.09375,-16.50119097850182,-9.41751580965237,"{""type"":""Point"",""coordinates"":[83.1619779250646,27.008212125601258]}"
74,3447.590909090909,2844.090909090909,2154.103896103896,4050.512987012987,-16.279492682456134,-9.585465525431006,"{""type"":""Point"",""coordinates"":[78.13322244930117,27.724388038452368]}"
75,3922.6666666666665,3304.3333333333335,2507.4444444444443,4109.833333333333,-17.200675218082647,-10.195833168882482,"{""type"":""Point"",""coordinates"":[80.27039022508363,25.783765087917725]}"
76,3341.225,2884.275,2358.375,3606.0,-18.812450853365675,-11.251209834746984,"{""type"":""Point"",""coordinates"":[79.70483492916192,27.348240990024138]}"
77,3757.123076923077,3128.0,2463.492307692308,3767.5692307692307,-17.191132384699173,-9.955696090750253,"{""type"":""Point"",""coordinates"":[82.79631958704523,27.41904245955485]}"
78,3339.970588235294,2680.8823529411766,2049.8823529411766,3699.264705882353,-16.525720293719353,-9.900786005442571,"{""type"":""Point"",""coordinates"":[84.25082152417019,26.660134835455246]}"
79,3859.3333333333335,3179.3846153846152,2345.74358974359,4039.153846153846,-17.432209375102918,-10.676594426086343,"{""type"":""Point"",""coordinates"":[81.4996171543512,26.101641543008768]}"
80,3483.3125,2939.4375,2187.125,3630.4375,-18.3650027506088,-10.557372185315026,"{""type"":""Point"",""coordinates"":[83.51380094316937,26.93261363931861]}"
81,2981.8611111111113,2337.5555555555557,1784.9722222222222,3581.277777777778,-15.715406201969138,-9.353988795244833,"{""type"":""Point"",""coordinates"":[77.9087892608058,29.067440496498207]}"
82,3076.027777777778,2500.1666666666665,1914.0555555555557,3656.6388888888887,-16.14349744210341,-7.494823004060633,"{""type"":""Point"",""coordinates"":[77.80211191545307,28.52173036049978]}"
83,3803.657142857143,3096.9142857142856,2341.2,4008.4,-18.158483965602542,-10.599777071048718,"{""type"":""Point"",""coordinates"":[83.1269424994243,25.74190057254711]}"
84,3275.9402985074626,2660.268656716418,2290.6119402985073,4116.910447761194,-16.421710106768575,-9.608933853222332,"{""type"":""Point"",""coordinates"":[77.18570891035274,29.766642179520463]}"
85,3733.6,2981.885714285714,2720.8285714285716,4387.057142857143,-17.058319100573485,-9.70839682928567,"{""type"":""Point"",""coordinates"":[83.10743858128762,25.916257842482445]}"
86,3478.2162162162163,2807.864864864865,2128.2162162162163,3802.4594594594596,-17.52329091473174,-10.547741617678666,"{""type"":""Point"",""coordinates"":[81.75077928577994,25.1837667073789]}"
87,3520.2432432432433,2844.175675675676,2139.5135135135133,3951.337837837838,-16.93051906361179,-10.200005429973006,"{""type"":""Point"",""coordinates"":[82.00906623069264,25.783318360470112]}"
88,3944.5843373493976,3367.012048192771,2545.5180722891564,4301.463855421687,-16.043997817614787,-8.656460997580139,"{""type"":""Point"",""coordinates"":[78.0953844727602,27.016903604583018]}"
89,3722.2987012987014,3190.6753246753246,2384.4805194805194,4229.025974025974,-17.531395621938792,-10.54306991265611,"{""type"":""Point"",""coordinates"":[77.93593807051764,27.51271437817252]}"
90,3800.8571428571427,3057.7714285714287,2181.2,3925.4285714285716,-17.111695983733842,-10.398049049591465,"{""type"":""Point"",""coordinates"":[81.58383477925359,26.820149580972203]}"
91,3347.2894736842104,2722.657894736842,2118.9736842105262,3721.9736842105262,-16.02235830854015,-9.915019983334817,"{""type"":""Point"",""coordinates"":[79.37670040914304,28.755439984845548]}"
92,3200.5,2389.25,1744.21875,3797.9375,-17.15616244499747,-10.430085782989426,"{""type"":""Point"",""coordinates"":[82.0090804014702,27.69776540361692]}"
93,3893.602564102564,3267.2884615384614,2473.019230769231,4072.7820512820513,-16.296362584965298,-9.56554196779566,"{""type"":""Point"",""coordinates"":[79.78061115386372,25.303942511240994]}"
94,3728.5714285714284,3192.155844155844,2402.8571428571427,4112.74025974026,-18.100844652853098,-10.934966870320869,"{""type"":""Point"",""coordinates"":[77.6567072953821,27.4080998506195]}"
95,3533.592105263158,2910.9736842105262,2164.2368421052633,3780.5526315789475,-17.957503020559685,-10.70020047143325,"{""type"":""Point"",""coordinates"":[81.82952046061928,25.266309786830654]}"
96,3336.348484848485,2772.6969696969695,2050.8030303030305,3446.560606060606,-16.589437128066233,-9.827232514816272,"{""type"":""Point"",""coordinates"":[80.57487605927824,28.107706414729684]}"
97,3404.3783783783783,2853.108108108108,2209.4864864864867,4049.7027027027025,-17.034896394221523,-10.163284208070397,"{""type"":""Point"",""coordinates"":[77.61222159115677,27.62432609847955]}"
98,3338.7066666666665,2606.2,1943.5066666666667,3850.5333333333333,-15.705615754861611,-9.421896202768044,"{""type"":""Point"",""coordinates"":[80.2705842030239,27.812691814331973]}"
99,3611.6875,2959.09375,2193.0,3668.59375,-15.052926005482481,-7.676397785922094,"{""type"":""Point"",""coordinates"":[81.94460239886399,27.133709582712793]}"
100,4595.736842105263,3898.8947368421054,2758.315789473684,3990.9473684210525,-19.61690929146932,-12.20704789582565,"{""type"":""Point"",""coordinates"":[82.47625998101572,24.701612836148193]}"
101,3355.3488372093025,2707.0697674418607,2004.9767441860465,3862.3953488372094,-16.50401145551919,-9.779750917629457,"{""type"":""Point"",""coordinates"":[78.78676147825382,28.553850446214533]}"
102,3685.409090909091,3072.8333333333335,2195.4242424242425,3783.6666666666665,-16.797439507729955,-9.698522068084337,"{""type"":""Point"",""coordinates"":[84.01368285143084,26.392891374223364]}"
103,3325.6190476190477,2631.6190476190477,1998.857142857143,3771.6666666666665,-15.486553645446154,-9.430838705387371,"{""type"":""Point"",""coordinates"":[78.80267036980715,29.128942771953803]}"
104,3663.1159420289855,2949.1014492753625,2193.478260869565,4174.695652173913,-16.22147180367256,-9.558013709011727,"{""type"":""Point"",""coordinates"":[82.65886349952912,25.489738468025394]}"
105,3818.24,3169.9066666666668,2331.0266666666666,3858.2533333333336,-17.180897767983332,-10.231845842102194,"{""type"":""Point"",""coordinates"":[81.09293538725134,25.44138008615962]}"
106,3988.46875,3281.75,2384.96875,4005.4375,-17.377275566114537,-10.330333315528229,"{""type"":""Point"",""coordinates"":[83.20224622020775,26.244885656860376]}"
107,3706.657142857143,3022.8571428571427,2300.3714285714286,4028.3714285714286,-17.208953713234145,-9.952054276655462,"{""type"":""Point"",""coordinates"":[83.68208701052365,25.960758886117084]}"
108,4499.459459459459,3645.9189189189187,2313.2702702702704,3892.9189189189187,-17.778883822149265,-11.384833474285893,"{""type"":""Point"",""coordinates"":[82.79391172746404,24.90800171996493]}"
109,3900.8611111111113,3287.0555555555557,2335.6388888888887,3977.027777777778,-17.317212855846773,-10.153367090068627,"{""type"":""Point"",""coordinates"":[80.37793025877224,25.708686904731525]}"
110,3534.516129032258,2943.0967741935483,2441.2903225806454,3789.7419354838707,-17.232231162728866,-11.03960426340618,"{""type"":""Point"",""coordinates"":[82.14757433339722,26.83490739493297]}"
111,3516.8571428571427,2801.8,2034.5428571428572,3780.714285714286,-15.892375029510506,-8.917604592300007,"{""type"":""Point"",""coordinates"":[81.0007304811379,27.307532502718498]}"
112,3515.0789473684213,2784.3684210526317,2586.5526315789475,3837.0526315789475,-15.945832140734597,-8.824479319774216,"{""type"":""Point"",""coordinates"":[82.83569083068913,24.402683204957924]}"
113,3347.1463414634145,2691.170731707317,1964.3658536585365,3763.8048780487807,-15.968081158921839,-10.11687772039882,"{""type"":""Point"",""coordinates"":[79.7703589192705,27.791268096621202]}"
114,3780.3703703703704,3194.5185185185187,2257.753086419753,4049.061728395062,-17.720498256028698,-10.179358706078695,"{""type"":""Point"",""coordinates"":[79.03234051560734,27.69896156158687]}"
115,4027.7272727272725,3609.181818181818,2607.0454545454545,3771.348484848485,-18.00374193188576,-10.810394176135935,"{""type"":""Point"",""coordinates"":[84.3074161524043,25.72095445748401]}"
116,3843.3023255813955,3205.2093023255816,2275.1627906976746,4225.116279069767,-17.544218483147407,-10.586699804739633,"{""type"":""Point"",""coordinates"":[78.50810091563234,28.4654750988024]}"
117,3224.597222222222,2551.027777777778,1929.3194444444443,3615.25,-15.176858471180637,-9.055080327779924,"{""type"":""Point"",""coordinates"":[78.63713835695083,29.188030911904033]}"
118,3500.0285714285715,2831.6285714285714,2154.2,3945.8,-16.571623255366305,-9.357180904464823,"{""type"":""Point"",""coordinates"":[81.11278565046184,26.956614385252397]}"
119,3450.3125,2855.46875,2166.96875,3559.15625,-17.897617099647608,-10.403543680244953,"{""type"":""Point"",""coordinates"":[83.60651738353016,27.001814185018745]}"
120,3787.114285714286,3065.114285714286,2271.1428571428573,4080.3714285714286,-15.810558285053473,-9.749401321218127,"{""type"":""Point"",""coordinates"":[81.18068604974772,26.223082152465548]}"
121,3892.957142857143,3262.1428571428573,2419.4142857142856,4108.085714285714,-17.894951056325578,-10.783877202285224,"{""type"":""Point"",""coordinates"":[80.20571369698591,26.149416397029366]}"
122,3621.3513513513512,3011.4054054054054,2252.810810810811,3958.945945945946,-16.5145461737044,-9.519986202390593,"{""type"":""Point"",""coordinates"":[82.87711119880858,25.16194174865734]}"
123,3847.121212121212,3122.3636363636365,2288.3333333333335,4002.5151515151515,-16.67273174820259,-10.00545561243497,"{""type"":""Point"",""coordinates"":[80.78636949107528,26.727030647956646]}"
124,3679.4864864864867,2923.2432432432433,2158.2432432432433,3694.2162162162163,-18.37036092630757,-11.997464565482126,"{""type"":""Point"",""coordinates"":[80.77946726958518,26.080088574223957]}"
125,3384.6666666666665,2753.722222222222,2071.6944444444443,3544.6944444444443,-16.307676619494362,-9.49065515531882,"{""type"":""Point"",""coordinates"":[81.1768930489139,28.24149879934338]}"
126,3597.958904109589,2889.3698630136987,2112.4109589041095,3730.753424657534,-17.03362975039046,-9.994941882850872,"{""type"":""Point"",""coordinates"":[82.34485417518292,24.95567029582067]}"
127,3768.1975308641977,3175.703703703704,2235.641975308642,4029.0864197530864,-17.619090683238888,-10.879793550102764,"{""type"":""Point"",""coordinates"":[79.07124695094168,27.9551681506544]}"
128,3381.7714285714287,2738.6857142857143,2047.9714285714285,3553.4285714285716,-15.755531670940082,-9.26080241953768,"{""type"":""Point"",""coordinates"":[80.92577500442533,27.833784396011247]}"
129,3569.7428571428572,2957.4,2204.2285714285713,3852.0857142857144,-18.26795493005953,-11.09188980976703,"{""type"":""Point"",""coordinates"":[82.18653964800028,26.025794523112786]}"
130,3711.2972972972975,3123.5135135135133,2269.0810810810813,4163.594594594595,-16.725896202567693,-9.808876811627416,"{""type"":""Point"",""coordinates"":[79.92668447088059,26.961132447567195]}"
131,2634.7027027027025,1962.7027027027027,1544.3513513513512,3404.5405405405404,-14.161414535753948,-7.547822393246966,"{""type"":""Point"",""coordinates"":[80.29837207524649,28.558459116986672]}"
132,3831.235294117647,3105.235294117647,2275.794117647059,4151.470588235294,-17.01238515454635,-9.77237752061037,"{""type"":""Point"",""coordinates"":[82.86915526946527,25.498634462241814]}"
133,3386.942857142857,2737.657142857143,2089.6,3843.8,-17.148193382413112,-9.769112737258666,"{""type"":""Point"",""coordinates"":[81.37800796798878,26.82400704961247]}"
134,4278.4,3551.733333333333,2406.133333333333,3732.016666666667,-19.582589364701228,-12.293795123751988,"{""type"":""Point"",""coordinates"":[82.55351109660367,25.05402397418789]}"
135,3463.472222222222,2920.8333333333335,2149.722222222222,3954.222222222222,-16.622690242465687,-9.885269504417542,"{""type"":""Point"",""coordinates"":[77.39646929701875,28.713210682564632]}"
